character,word,freq
Pam,halpert,14
Pam,house,14
Pam,manager,14
Pam,month,14
Pam,months,14
Pam,ready,14
Pam,sales,14
Pam,tonight,14
Andy,bit,13
Andy,chance,13
Andy,dad,13
Andy,food,13
Andy,hand,13
Andy,heart,13
Andy,kidding,13
Andy,ladies,13
Andy,makes,13
Andy,manager,13
Andy,meet,13
Andy,na,13
Andy,ow,13
Andy,throw,13
Andy,tonight,13
Creed,boss,13
Dwight,ago,13
Dwight,ahead,13
Dwight,bathroom,13
Dwight,battle,13
Dwight,cat,13
Dwight,coffee,13
Dwight,dollars,13
Dwight,easy,13
Dwight,fight,13
Dwight,fired,13
Dwight,forget,13
Dwight,front,13
Dwight,jim's,13
Dwight,jump,13
Dwight,late,13
Dwight,leads,13
Dwight,moment,13
Dwight,months,13
Dwight,news,13
Dwight,pay,13
Dwight,questions,13
Dwight,ring,13
Dwight,sitting,13
Dwight,sound,13
Dwight,standing,13
Dwight,start,13
Dwight,step,13
Dwight,throw,13
Erin,people,13
Jim,ahead,13
Jim,bought,13
Jim,drink,13
Jim,em,13
Jim,funny,13
Jim,hand,13
Jim,inside,13
Jim,meredith,13
Jim,michael's,13
Jim,morning,13
Jim,ow,13
Jim,picture,13
Jim,robert,13
Jim,run,13
Jim,set,13
Jim,sitting,13
Jim,times,13
Jim,truth,13
Jim,umm,13
Jim,wallace,13
Jim,york,13
Kevin,feel,13
Kevin,life,13
Kevin,whoa,13
Michael,15,13
Michael,4,13
Michael,affair,13
Michael,apologize,13
Michael,apparently,13
Michael,bird,13
Michael,buddy,13
Michael,cards,13
Michael,chair,13
Michael,children,13
Michael,credit,13
Michael,cute,13
Michael,da,13
Michael,disgusting,13
Michael,double,13
Michael,downsizing,13
Michael,drugs,13
Michael,dundie,13
Michael,extra,13
Michael,eye,13
Michael,feelings,13
Michael,figure,13
Michael,finally,13
Michael,fish,13
Michael,forgot,13
Michael,handle,13
Michael,information,13
Michael,invite,13
Michael,invited,13
Michael,jim's,13
Michael,kinda,13
Michael,kiss,13
Michael,lake,13
Michael,losing,13
Michael,minute,13
Michael,named,13
Michael,parking,13
Michael,plans,13
Michael,salesmen,13
Michael,sec,13
Michael,shhh,13
Michael,sleep,13
Michael,space,13
Michael,straight,13
Michael,suit,13
Michael,test,13
Michael,tiny,13
Oscar,money,13
Oscar,office,13
Pam,5,13
Pam,alright,13
Pam,book,13
Pam,box,13
Pam,bring,13
Pam,calling,13
Pam,chair,13
Pam,cut,13
Pam,decided,13
Pam,dinner,13
Pam,hate,13
Pam,kelly,13
Pam,list,13
Pam,philly,13
Pam,scott,13
Pam,walk,13
Andy,amazing,12
Andy,brother,12
Andy,bum,12
Andy,favorite,12
Andy,flag,12
Andy,gosh,12
Andy,happened,12
Andy,huge,12
Andy,listen,12
Andy,minutes,12
Andy,miss,12
Andy,movie,12
Andy,parents,12
Andy,school,12
Andy,start,12
Andy,telling,12
Andy,walk,12
Andy,weeks,12
Angela,meredith,12
Angela,office,12
Dwight,aah,12
Dwight,absolutely,12
Dwight,amazing,12
Dwight,ass,12
Dwight,awesome,12
Dwight,brain,12
Dwight,choice,12
